productId,setName,productName,rarity,cardNumber,subTypeName,marketPrice,midPrice,lowPrice,highPrice
696613,ME: 30th Celebration,30th Celebration Pack,,,Normal,21.43,21.42,16.99,155.49
696676,ME: 30th Celebration,Greninja ex,Double Rare,021/128,,,,,
696677,ME: 30th Celebration,Sylveon ex,Double Rare,071/128,,,,,
696678,ME: 30th Celebration,Espeon,Common,069/128,,,,,
696679,ME: 30th Celebration,Umbreon,Common,091/128,,,,,
696680,ME: 30th Celebration,Pikachu - 036/128,None,036/128,,,,,
696681,ME: 30th Celebration,Pikachu - 037/128,None,037/128,,,,,
696682,ME: 30th Celebration,Pikachu - 047/128,None,047/128,,,,,
696683,ME: 30th Celebration,Lapras,Illustration Rare,131/128,,,,,
696684,ME: 30th Celebration,Drifloon,Illustration Rare,136/128,,,,,
696685,ME: 30th Celebration,Lycanroc,Illustration Rare,138/128,,,,,
696686,ME: 30th Celebration,Hisuian Zorua,Illustration Rare,145/128,,,,,
696687,ME: 30th Celebration,Mewtwo ex,Futuristic Rare,157/128,Holofoil,,1000.0,1000.0,1000.0
696688,ME: 30th Celebration,Mew ex,Futuristic Rare,158/128,,,,,
696830,ME: 30th Celebration,Victini,Common,013/128,,,,,
696831,ME: 30th Celebration,Zeraora,Common,057/128,,,,,
696832,ME: 30th Celebration,Eevee - 117/128,Common,117/128,,,,,
696833,ME: 30th Celebration,Eevee - 118/128,Common,118/128,,,,,
696834,ME: 30th Celebration,Espeon ex,Double Rare,070/128,,,,,
696835,ME: 30th Celebration,Umbreon ex,Double Rare,092/128,,,,,
704143,ME: 30th Celebration,30th Celebration Elite Trainer Box,,,Normal,193.68,205.6,193.54,399.99
704144,ME: 30th Celebration,30th Celebration Pokemon Center Elite Trainer Box,,,Normal,572.32,524.0,508.0,799.99
704145,ME: 30th Celebration,30th Celebration Tech Sticker Collection [Alolan Exeggutor],,,Normal,75.93,49.89,48.0,109.0
704146,ME: 30th Celebration,30th Celebration Tech Sticker Collection [Lucario],,,Normal,79.32,47.03,43.0,139.9
704147,ME: 30th Celebration,30th Celebration Tech Sticker Collection [Set of 2],,,Normal,194.03,178.95,89.67,199.7
704148,ME: 30th Celebration,30th Celebration 2-Pack Blister,,,Normal,64.11,58.81,54.3,119.0
704149,ME: 30th Celebration,30th Celebration ex Tin [Sylveon ex],,,Normal,144.1,97.3,96.1,149.98
704150,ME: 30th Celebration,30th Celebration Tin [Greninja ex],,,Normal,99.99,95.0,94.61,146.92
704151,ME: 30th Celebration,30th Celebration ex Tin [Set of 2],,,Normal,,349.9,349.86,389.64
704152,ME: 30th Celebration,30th Celebration Knock Out Collection,,,Normal,30.65,31.47,29.69,48.88
704153,ME: 30th Celebration,30th Celebration Poster Collection,,,Normal,82.79,68.36,67.23,94.0
704155,ME: 30th Celebration,30th Celebration Sylveon ex Box,,,Normal,93.04,89.25,87.27,169.0
704168,ME: 30th Celebration,30th Celebration Greninja ex Box,,,Normal,106.93,81.76,74.61,166.92
704169,ME: 30th Celebration,30th Celebration Binder Collection,,,Normal,68.6,68.85,67.39,399.0
704171,ME: 30th Celebration,30th Celebration Booster Bundle,,,Normal,94.04,95.75,90.4,149.99
704176,ME: 30th Celebration,30th Celebration Mini Tin [Espeon],,,Normal,88.12,74.86,74.3,99.0
