productId,setName,productName,rarity,cardNumber,subTypeName,marketPrice,midPrice,lowPrice,highPrice
709110,M6: Storm Emeralda,Storm Emeralda Booster Box,,,Normal,159.02,159.99,149.95,180.0
709111,M6: Storm Emeralda,Storm Emeralda Booster Pack,,,Normal,3.92,3.65,3.59,7.99
709157,M6: Storm Emeralda,Heracross,Common,001/076,Normal,0.57,0.52,0.1,2.35
709158,M6: Storm Emeralda,Surskit,Common,002/076,Normal,0.24,0.2,0.15,1.49
709159,M6: Storm Emeralda,Masquerain - 003/076,Common,003/076,Normal,0.3,0.3,0.1,1.49
709160,M6: Storm Emeralda,Cacnea,Common,004/076,Normal,0.17,0.2,0.09,1.98
709161,M6: Storm Emeralda,Cacturne,Rare,005/076,Holofoil,0.31,0.34,0.18,5.0
709162,M6: Storm Emeralda,Combee,Common,006/076,Normal,0.25,0.24,0.1,0.75
709163,M6: Storm Emeralda,Vespiquen,Common,007/076,Normal,0.31,0.29,0.03,1.19
709164,M6: Storm Emeralda,Wimpod,Common,008/076,Normal,0.38,0.3,0.16,3.0
709165,M6: Storm Emeralda,Mega Golisopod ex - 009/076,Double Rare,009/076,Holofoil,0.87,1.0,0.72,4.99
709166,M6: Storm Emeralda,Growlithe - 010/076,Common,010/076,Normal,0.37,0.5,0.15,4.98
709167,M6: Storm Emeralda,Arcanine,Rare,011/076,Holofoil,1.27,1.48,0.1,11.75
709168,M6: Storm Emeralda,Magmar - 012/076,Common,012/076,Normal,0.42,0.4,0.16,3.0
709169,M6: Storm Emeralda,Magmortar,Uncommon,013/076,Normal,0.4,0.4,0.1,4.99
709170,M6: Storm Emeralda,Torkoal,Common,014/076,Normal,0.16,0.2,0.03,1.19
709171,M6: Storm Emeralda,Heat Rotom ex - 015/076,Double Rare,015/076,Holofoil,0.83,0.95,0.19,15.97
709172,M6: Storm Emeralda,Heatmor,Common,016/076,Normal,0.23,0.21,0.1,1.99
709173,M6: Storm Emeralda,Mantine,Common,017/076,Normal,0.71,0.43,0.1,5.98
709174,M6: Storm Emeralda,Kyogre - 018/076,Rare,018/076,Holofoil,0.44,0.49,0.23,5.0
709175,M6: Storm Emeralda,Frillish,Common,019/076,Normal,0.24,0.24,0.1,3.99
709176,M6: Storm Emeralda,Jellicent,Uncommon,020/076,Normal,0.31,0.31,0.1,2.25
709177,M6: Storm Emeralda,Wishiwashi ex - 021/076,Double Rare,021/076,Holofoil,0.56,0.57,0.2,5.5
709178,M6: Storm Emeralda,Electabuzz,Common,022/076,Normal,0.45,0.31,0.15,3.99
709179,M6: Storm Emeralda,Electivire - 023/076,Uncommon,023/076,Normal,0.29,0.25,0.1,4.04
709180,M6: Storm Emeralda,Pincurchin - 026/076,Common,026/076,Normal,0.4,0.4,0.1,1.5
709181,M6: Storm Emeralda,Wattrel,Common,027/076,Normal,0.2,0.2,0.03,4.02
709182,M6: Storm Emeralda,Kilowattrel,Uncommon,028/076,Normal,0.34,0.33,0.1,3.19
709183,M6: Storm Emeralda,Drowzee,Common,029/076,Normal,0.26,0.27,0.1,3.01
709184,M6: Storm Emeralda,Hypno,Common,030/076,Normal,0.39,0.38,0.18,2.49
