productId,setName,productName,rarity,cardNumber,subTypeName,marketPrice,midPrice,lowPrice,highPrice
712093,ME06: Delta Reign,Delta Reign 3 Pack Blister [Seel],,,Normal,50.46,45.75,34.99,52.17
712094,ME06: Delta Reign,Delta Reign Booster Box,,,Normal,266.91,267.22,257.0,370.0
712095,ME06: Delta Reign,Delta Reign Half Booster Box,,,,,,,
712096,ME06: Delta Reign,Delta Reign Booster Box Case,,,Normal,1622.06,1651.79,1651.75,2900.0
712097,ME06: Delta Reign,Delta Reign Booster Bundle,,,Normal,81.27,81.0,74.33,146.6
712098,ME06: Delta Reign,Delta Reign Booster Bundle Case,,,Normal,,1863.84,1863.77,2146.99
712099,ME06: Delta Reign,Delta Reign Booster Pack,,,Normal,,17.49,14.99,19.98
712100,ME06: Delta Reign,Delta Reign Booster Pack Art Bundle [Set of 4],,,Normal,75.88,75.88,75.87,79.95
712101,ME06: Delta Reign,Delta Reign Build & Battle Box,,,Normal,,79.53,78.53,85.0
712102,ME06: Delta Reign,Delta Reign Elite Trainer Box,,,Normal,136.45,136.77,130.17,198.8
712103,ME06: Delta Reign,Delta Reign Elite Trainer Box Case,,,Normal,1329.14,1299.99,1263.78,1799.99
712104,ME06: Delta Reign,Delta Reign Pokemon Center Elite Trainer Box (Exclusive),,,Normal,599.92,634.89,599.99,634.9
712105,ME06: Delta Reign,Delta Reign Pokemon Center Elite Trainer Box Case (Exclusive),,,,,,,
712106,ME06: Delta Reign,Delta Reign Premium Checklane Blister [Ampharos Line],,,,,,,
712107,ME06: Delta Reign,Delta Reign Premium Checklane Blister [Delphox Line],,,,,,,
712108,ME06: Delta Reign,Delta Reign Single Pack Blister [Spitzee],,,Normal,33.12,30.88,14.99,33.11
712109,ME06: Delta Reign,Delta Reign Single Pack Blister (Target Exclusive) [Keldeo],,,,,,,
712110,ME06: Delta Reign,Delta Reign Single Pack Blister (Target Exclusive) [Xerneas],,,,,,,
712111,ME06: Delta Reign,Delta Reign Sleeved Booster Case,,,Normal,1197.31,1198.95,1198.94,1198.95
712112,ME06: Delta Reign,Delta Reign Sleeved Booster Pack,,,Normal,32.76,32.95,14.99,32.95
712113,ME06: Delta Reign,Delta Reign Sleeved Booster Pack Art Bundle [Set of 4],,,Normal,59.95,59.92,59.82,59.99
696613,ME: 30th Celebration,30th Celebration Booster Pack,,,Normal,16.54,17.7,15.0,155.49
696676,ME: 30th Celebration,Greninja ex - 021/128,Double Rare,021/128,Holofoil,0.75,0.9,0.43,49.99
696677,ME: 30th Celebration,Sylveon ex - 071/128,Double Rare,071/128,Holofoil,1.46,1.71,0.8,49.0
696678,ME: 30th Celebration,Espeon,Common,069/128,Holofoil,0.62,0.6,0.1,49.99
696679,ME: 30th Celebration,Umbreon,Common,091/128,Holofoil,0.89,0.75,0.2,49.95
696680,ME: 30th Celebration,Pikachu - 036/128,Pikachu Rare,036/128,Holofoil,3.66,7.0,1.99,49.7
696681,ME: 30th Celebration,Pikachu - 037/128,Pikachu Rare,037/128,Holofoil,1.79,2.0,0.92,49.95
696682,ME: 30th Celebration,Pikachu - 047/128,Pikachu Rare,047/128,Holofoil,2.3,2.0,0.9,145.0
696683,ME: 30th Celebration,Lapras - 131/128,Illustration Rare,131/128,Holofoil,18.66,26.0,17.0,94.9
696684,ME: 30th Celebration,Drifloon - 136/128,Illustration Rare,136/128,Holofoil,7.16,10.25,5.98,122.38
696685,ME: 30th Celebration,Lycanroc - 138/128,Illustration Rare,138/128,Holofoil,3.99,5.0,2.89,122.38
696686,ME: 30th Celebration,Hisuian Zorua - 145/128,Illustration Rare,145/128,Holofoil,11.83,14.24,9.47,137.5
696687,ME: 30th Celebration,Mewtwo ex - 157/128,Futuristic Rare,157/128,Holofoil,93.22,120.0,88.0,1999.99
696688,ME: 30th Celebration,Mew ex - 158/128,Futuristic Rare,158/128,Holofoil,137.18,165.0,127.0,7999.99
696830,ME: 30th Celebration,Victini,Common,013/128,Holofoil,0.28,0.25,0.03,49.0
696831,ME: 30th Celebration,Zeraora,Common,057/128,Holofoil,0.2,0.21,0.01,49.0
696832,ME: 30th Celebration,Eevee - 117/128,Common,117/128,Holofoil,0.53,0.48,0.15,49.99
696833,ME: 30th Celebration,Eevee - 118/128,Common,118/128,Holofoil,0.43,0.44,0.21,49.99
696834,ME: 30th Celebration,Espeon ex,Double Rare,070/128,Holofoil,2.28,1.45,0.7,69.99
696835,ME: 30th Celebration,Umbreon ex,Double Rare,092/128,Holofoil,2.69,2.25,0.5,49.0
704143,ME: 30th Celebration,30th Celebration Elite Trainer Box,,,Normal,172.08,185.0,165.0,400.0
704144,ME: 30th Celebration,30th Celebration Pokemon Center Elite Trainer Box,,,Normal,313.21,399.99,310.0,2000.0
704145,ME: 30th Celebration,30th Celebration Tech Sticker Collection [Alolan Exeggutor],,,Normal,38.94,43.49,35.0,200.0
704146,ME: 30th Celebration,30th Celebration Tech Sticker Collection [Lucario],,,Normal,37.98,44.99,35.0,200.0
704147,ME: 30th Celebration,30th Celebration Tech Sticker Collection [Set of 2],,,Normal,79.05,84.7,73.99,191.57
