productId,setName,productName,rarity,cardNumber,subTypeName,marketPrice,midPrice,lowPrice,highPrice
45150,Jungle,Tauros,Uncommon,47/64,1st Edition,6.41,5.96,1.49,74.99
45150,Jungle,Tauros,Uncommon,47/64,Unlimited,1.3,0.75,0.27,15.48
83550,EX Dragon,Ampharos ex,Ultra Rare,89/97,Holofoil,241.37,299.74,298.0,400.0
83806,Aquapolis,Bellsprout (68),Common,068/147,Normal,11.87,17.5,9.73,213.1
83806,Aquapolis,Bellsprout (68),Common,068/147,Reverse Holofoil,99.99,65.0,49.0,99.99
84062,Legendary Collection,Butterfree,Rare,021/110,Normal,9.46,8.35,3.95,113.1
84062,Legendary Collection,Butterfree,Rare,021/110,Reverse Holofoil,228.41,1960.8,999.99,3007.6
84318,Emerging Powers,Cinccino,Uncommon,85/98,Normal,0.58,0.5,0.25,19.98
84318,Emerging Powers,Cinccino,Uncommon,85/98,Reverse Holofoil,1.31,3.2,0.85,19.98
84574,Team Rocket,Dark Charmeleon,Uncommon,32/82,1st Edition,23.77,19.56,14.17,218.72
84574,Team Rocket,Dark Charmeleon,Uncommon,32/82,Unlimited,8.02,9.19,4.25,9999.0
84830,Skyridge,Ditto,Common,051/144,Normal,82.84,149.99,94.99,1009.8
85086,Rising Rivals,Eevee,Common,59/111,Normal,4.78,4.99,1.4,19.78
85086,Rising Rivals,Eevee,Common,59/111,Reverse Holofoil,28.58,29.99,25.12,45.0
85342,Neo Destiny,Exeggcute,Common,064/105,1st Edition,2.72,3.09,1.38,32.44
85342,Neo Destiny,Exeggcute,Common,064/105,Unlimited,0.95,1.0,0.48,23.49
85598,POP Series 9,Gabite,Uncommon,008/017,Normal,3.39,3.35,2.08,40.6
85854,Legendary Treasures,Gothitelle,Holo Rare,72/113,Holofoil,2.07,1.97,1.29,29.99
85854,Legendary Treasures,Gothitelle,Holo Rare,72/113,Reverse Holofoil,2.42,2.69,1.5,20.0
86110,Neo Discovery,Hitmontop (3),Holo Rare,03/75,1st Edition Holofoil,300.0,78.37,51.99,640.0
86110,Neo Discovery,Hitmontop (3),Holo Rare,03/75,Unlimited Holofoil,20.23,19.17,12.96,350.97
86366,Secret Wonders,Jumpluff,Holo Rare,11/132,Holofoil,8.11,9.95,4.68,86.2
86366,Secret Wonders,Jumpluff,Holo Rare,11/132,Reverse Holofoil,7.2,8.65,2.5,76.0
86622,Next Destinies,Lapras (25),Rare,25/99,Normal,0.58,0.57,0.19,7.6
86622,Next Destinies,Lapras (25),Rare,25/99,Reverse Holofoil,5.36,5.23,3.61,49.99
86878,Platinum,Lucario,Uncommon,53/127,Normal,7.17,7.73,3.75,96.95
86878,Platinum,Lucario,Uncommon,53/127,Reverse Holofoil,10.58,30.0,7.71,309.9
87134,Boundaries Crossed,Makuhita,Common,82/149,Normal,0.25,0.25,0.15,19.98
87134,Boundaries Crossed,Makuhita,Common,82/149,Reverse Holofoil,0.91,0.88,0.25,19.98
87390,Great Encounters,Metapod,Uncommon,47/106,Normal,0.62,0.62,0.1,19.98
87390,Great Encounters,Metapod,Uncommon,47/106,Reverse Holofoil,3.98,23.94,3.37,49.7
87646,Neo Genesis,Murkrow,Rare,024/111,1st Edition,9.42,8.88,4.77,89.9
87646,Neo Genesis,Murkrow,Rare,024/111,Unlimited,4.37,4.3,2.0,48.1
87902,POP Series 9,Pachirisu,Uncommon,010/017,Normal,6.19,6.63,3.49,59.08
88158,Plasma Storm,Plasma Frigate (Team Plasma),Uncommon,124/135,Normal,0.33,0.33,0.1,5.0
88158,Plasma Storm,Plasma Frigate (Team Plasma),Uncommon,124/135,Reverse Holofoil,0.98,1.23,0.58,19.98
88414,Neo Genesis,Psychic Energy,Common,110/111,1st Edition,1.38,1.04,0.65,60.0
88414,Neo Genesis,Psychic Energy,Common,110/111,Unlimited,0.47,0.47,0.15,19.98
88670,Diamond and Pearl Promos,Regigigas LV.X - DP30,Promo,DP30,Holofoil,44.43,200.0,59.99,452.38
88926,HeartGold SoulSilver,Sandshrew,Common,79/123,Normal,0.82,0.58,0.1,19.46
