productId,setName,productName,rarity,subTypeName,marketPrice,midPrice,lowPrice,highPrice
42434,Base Set,Super Potion,Uncommon,Normal,0.31,0.33,0.07,40.0
83650,Supreme Victors,Articuno (16),Rare,Normal,11.77,17.5,9.0,199.94
83650,Supreme Victors,Articuno (16),Rare,Reverse Holofoil,21.97,24.99,23.32,923.4
83906,EX Emerald,Blaziken,Holo Rare,Holofoil,57.49,65.99,42.05,636.32
83906,EX Emerald,Blaziken,Holo Rare,Reverse Holofoil,185.0,126.35,102.7,150.0
84162,Black and White Promos,Champions Festival - BW95 (Worlds 13),Promo,Normal,174.99,175.0,174.99,189.99
84418,Noble Victories,Conkeldurr (64),Holo Rare,Holofoil,2.21,3.15,1.99,36.3
84418,Noble Victories,Conkeldurr (64),Holo Rare,Reverse Holofoil,2.46,2.99,2.12,35.9
84674,Neo Destiny,Dark Wigglytuff,Uncommon,1st Edition,21.04,34.99,19.0,177.5
84674,Neo Destiny,Dark Wigglytuff,Uncommon,Unlimited,12.73,21.0,8.99,61.86
84930,Legendary Collection,Dratini,Common,Normal,1.02,0.9,0.28,19.98
84930,Legendary Collection,Dratini,Common,Reverse Holofoil,293.33,299.59,290.0,399.99
85186,Legendary Treasures,Emboar,Holo Rare,Holofoil,23.31,40.25,17.02,4319.99
85186,Legendary Treasures,Emboar,Holo Rare,Reverse Holofoil,33.24,39.25,19.97,259.8
85442,Diamond and Pearl,Fighting Energy,Common,Normal,1.6,1.0,0.4,63.0
85442,Diamond and Pearl,Fighting Energy,Common,Reverse Holofoil,,22.94,22.94,22.94
85698,Mysterious Treasures,Gible,Common,Normal,0.33,0.36,0.2,19.98
85698,Mysterious Treasures,Gible,Common,Reverse Holofoil,8.67,10.0,3.59,80.0
85954,EX FireRed & LeafGreen,Growlithe,Common,Normal,0.72,0.72,0.2,19.98
85954,EX FireRed & LeafGreen,Growlithe,Common,Reverse Holofoil,40.77,20.0,20.0,120.0
86210,Undaunted,Houndoom (Prime),Ultra Rare,Holofoil,213.74,349.99,199.89,1199.8
